GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netex-java-model,org.rutebanken.netex.model,SiteFacilitySetRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,StopArea_VersionStructure,234,0,6,0,87,0,48,0,45,0
netex-java-model,org.rutebanken.netex.model,FlexibleQuays_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,GroupOfServicesMemberStructure,193,0,6,0,71,0,41,0,38,0
netex-java-model,org.rutebanken.netex.model,RoundingStepRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,EntitlementConstraintStructure,163,0,0,0,67,0,41,0,41,0
netex-java-model,org.rutebanken.netex.model,ResponsibilitySet_VersionStructure,162,0,6,0,58,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,SaleDiscountRight,276,0,6,0,103,0,54,0,51,0
netex-java-model,org.rutebanken.netex.model,RoadElement,166,0,6,0,59,0,32,0,29,0
netex-java-model,org.rutebanken.netex.model,TravelSpecificationsInFrame_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,MoneyService_VersionStructure,221,0,14,0,73,0,41,0,34,0
netex-java-model,org.rutebanken.netex.model,LanguageUseEnumeration,31,100,4,0,5,12,4,2,2,2
netex-java-model,org.rutebanken.netex.model,RoundingStep_VersionedChildStructure,147,0,6,0,52,0,30,0,27,0
netex-java-model,org.rutebanken.netex.model,SalesTransactions_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,DirectionView,27,0,0,0,10,0,6,0,6,0
netex-java-model,org.rutebanken.netex.model,LocalService_VersionStructure,183,0,6,0,66,0,36,0,33,0
netex-java-model,org.rutebanken.netex.model,SalesOfferPackageSubstitution_VersionStructure,165,0,6,0,59,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,FareProductPrice,206,0,6,0,75,0,40,0,37,0
netex-java-model,org.rutebanken.netex.model,ValidityParameterAssignment,281,0,6,0,105,0,55,0,52,0
netex-java-model,org.rutebanken.netex.model,CongestionEnumeration,31,56,4,0,5,8,4,2,2,2
netex-java-model,org.rutebanken.netex,OmitNullsToStringStyle,0,32,0,2,0,11,0,4,0,3
netex-java-model,org.rutebanken.netex.client,PublicationDeliveryClient,143,0,6,0,34,0,7,0,4,0
netex-java-model,net.opengis.gml._3,CurvePropertyType,82,0,10,0,24,0,16,0,11,0
netex-java-model,net.opengis.gml._3,PolygonType,123,0,14,0,34,0,22,0,15,0
netex-java-model,net.opengis.gml._3,ReferenceType,70,0,10,0,19,0,13,0,8,0
netex-java-model,net.opengis.gml._3,AbstractRingType,7,0,0,0,2,0,2,0,2,0
netex-java-model,net.opengis.gml._3,LinearRingType,64,0,8,0,17,0,12,0,8,0
